,start_station_name,value
1587,W 21 St & 6 Ave,131131
1718,West St & Chambers St,125281
495,Broadway & W 58 St,116372
286,6 Ave & W 33 St,108800
8,1 Ave & E 68 St,107899
461,Broadway & E 14 St,100480
485,Broadway & W 25 St,100099
1511,University Pl & E 14 St,99510
463,Broadway & E 21 St,97416
1603,W 31 St & 7 Ave,95534
788,E 33 St & 1 Ave,93557
590,Cleveland Pl & Spring St,92228
287,6 Ave & W 34 St,91725
29,12 Ave & W 40 St,91470
24,11 Ave & W 41 St,89661
1105,Lafayette St & E 8 St,88866
1719,West St & Liberty St,88559
328,8 Ave & W 33 St,88168
796,E 40 St & Park Ave,87295
562,Central Park S & 6 Ave,87204
